source	anchor	sha256	disposition	note
user-scope	본 CLAUDE.md 는	1b1e574e2e8ce07127987b0eb7268a6e849d04a1dd8022b47c9bae85251cb068	policy:Conduct	only the re-read-at-citation half; the self-edit half is interactive and the CLAUDE.md apply gate handles it
user-scope	개발 문서를 보면서	71b2647195f7cd41a6078794454da4a9db64cec50520da6082dac85ccec5b584	policy:Conduct	
user-scope	따로 지시가 있지 않으면	2929638a06dd9458d0b1cf70798b5aed93b9439dc5957f9f87b97e607f726ce5	policy:Artifacts	narrowed to human-facing prose in Korean; the conversation-language half has no reader
user-scope	모든 산출물(코드 주석	3b76d9887e30ed0ab739835a832ce71907eaacd524994f04ca2ac3262b24eb94	policy:Artifacts	
user-scope	새로운 코드를 작성할 때는	722c379fa93a39277dba387d6b3348c92e7be188d02bc7acb165fbd964ff4e96	policy:Code and tools	
user-scope	특정 라이브러리를 설치	ca9be2e468628734ab31c3e095afd638ff5a8704b597b6bc38875dc2038661b0	excluded:mcp-unavailable	stages run with --strict-mcp-config and have no MCP
user-scope	cli 명령어 사용중	a3c0ad96f392abee5ec76f8523edc161d09f86b04203b00b399c1b0dc2cdb78b	excluded:host-mutation	package installation is a host mutation the gate grades
user-scope	AWS CLI 사용 시	818facde9e05b21e17fdb676afb50bd300b1b3bb4187a59602a2fd1433ba2707	policy:Code and tools	orderbook infra stages
user-scope	playwright(-cli) 는 `-s=	6c0c0d75c139113fdf6ff2fab09cc77ba3823971da61d2dbc1e5de9185751931	skill:browser-policy	
user-scope	playwright(-cli) `open`	0cfcf9046df1abf5fb93d651ff78c6925d9124e1d99acebffc78a0032e631356	policy:Code and tools	only the stay-headless clause is in the policy; the rest is the skill:browser-policy pointer
user-scope	terraform 의	c2e55dff5ca01f63357c052df54f3883b4721435887bff004610f54aac54b703	policy:Code and tools	
user-scope	sed를 사용한 파일 수정은	f51068eff7b4dbc7dc5f6f7bb30831552144906444bfe0681cb33018e8b99b6b	policy:Code and tools	
user-scope	한 요청에 독립적인 여러 파일을	63ae069bb4f5425ebfe8d7ca4c3746ab267489508d880005a228fb25c758a46e	excluded:interactive-only	batching shape for the interactive permission flow
user-scope	Dynamic Workflow(	3171420787c275780ff79d8808c02ed6db58f675b39c61eda2951a0f969e1350	policy:Delegation	
user-scope	팬아웃의 경계	04ccf5dc9ac62e318aaa8370d115ee889151373137c07be89e3199e10e0211ab	policy:Delegation	with no human present every spawned agent resolves to read-only
user-scope	새 기능 기획·구현이 필요하면	6d3f50e51dfa6209abf900435ecf0b452609292be02509f936240738b05992bf	excluded:interactive-only	AskUserQuestion interview
user-scope	이슈 트래커 티켓(ClickUp	1a391db01cbf8f36563fb0b7b7ce995e47df72ed688d15678e95823ccc3cedc7	excluded:interactive-only	kickoff AskUserQuestion
user-scope	설계·개발 문서 등 산출물에서 "우산"	bb77b0e28cb189b99390c9018f5f1212964845d2dd6110fef7a24f2bf78d5936	policy:Artifacts	
user-scope	HTML 문서는 Artifact 가 아니라	d670c1e148f13fbfb8a9f6ebcc5607a44905e588f5b408260d53805e3b9463e8	skill:local-html	
user-scope	그 로컬 HTML 은 경로만	cd97c4abb6ea1a9a50cef91eac3ab5c1edb814546b3cb646919ae4dfcb1df76b	skill:local-html	
user-scope	그 로컬 HTML 은 본문 전체 폭을	0403d0eae97818acf56d6117b67eb1578e231d1a1b71459a1204d78b41a0bdbf	skill:local-html	
